id_cliente,nome,cognome,eta_cliente,numero_transazioni_entrata,numero_transazioni_uscita,somma_totale_entrate,somma_totale_uscite,numero_conti_tipo_0,numero_conti_tipo_1,numero_conti_tipo_2,numero_conti_tipo_3,importo_uscite_tipo_0,importo_uscite_tipo_1,importo_uscite_tipo_2,importo_uscite_tipo_3,importo_entrate_tipo_0,importo_entrate_tipo_1,importo_entrate_tipo_2,importo_entrate_tipo_3
19,Giada,Bianchi,47,7,56,467.3311488184139,-4808.98770231947,0,0,0,1,0,0,0,-4808.98770231947,0,0,0,467.3311488184139
20,Alberto,Giordano,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,Giada,Lombardi,54,18,134,1268.0414365131332,-12999.071604946446,1,0,1,0,-5694.716176260841,0,-7304.355428685603,0,894.7635344706647,0,373.2779020424685,0
22,Simone,Ferrari,30,10,51,529.9625697823914,-4553.977918749699,0,1,0,0,0,-4553.977918749699,0,0,0,529.9625697823914,0,0
23,Alberto,Giordano,47,8,47,711.6790616777623,-3528.070576231856,0,0,1,0,0,0,-3528.070576231856,0,0,0,711.6790616777623,0
24,Maria,Lombardi,46,10,51,618.7020837961718,-3722.1120018557085,0,0,1,0,0,0,-3722.1120018557085,0,0,0,618.7020837961718,0
25,Giada,Colombo,27,25,91,1691.0316867054241,-6918.902183188204,1,0,1,0,-3753.781713029094,0,-3165.12047015911,0,523.604494695796,0,1167.4271920096285,0
26,Stefania,Russo,54,10,44,479.1399161267918,-4851.116691769048,0,0,0,1,0,0,0,-4851.116691769048,0,0,0,479.1399161267918
27,Mario,Gallo,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,Giada,Gallo,48,17,95,1107.365045496622,-7384.9005510792185,1,1,0,0,-3726.064367194054,-3658.836183885163,0,0,613.0960507139326,494.2689947826894,0,0
29,Giada,"De Luca",27,24,120,2616.093556857404,-11252.105106465177,0,1,0,1,0,-6354.618506323823,0,-4897.48660014135,0,547.720259876675,0,2068.3732969807293
30,Giada,"De Luca",65,4,54,334.5436285467565,-3319.250636645636,1,0,0,0,-3319.250636645636,0,0,0,334.5436285467565,0,0,0
31,Stefano,Mancini,37,9,57,846.3136163744931,-4118.733427656256,0,0,0,1,0,0,0,-4118.733427656256,0,0,0,846.3136163744931
32,Alberto,Russo,50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,Mario,Greco,46,18,97,1554.1984460952522,-7357.43530137626,0,0,1,1,0,0,-3308.891162706861,-4048.5441386693997,0,0,934.8145910114532,619.3838550837991
34,Alberto,Mancini,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,Simona,Fontana,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,Stefano,Fontana,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,Giada,Bruno,56,7,45,248.42816363227377,-3773.808049964034,0,0,1,0,0,0,-3773.808049964034,0,0,0,248.42816363227377,0
38,Maria,Longo,44,31,137,1886.7387535762216,-13313.51599756207,2,0,0,1,-9618.728593660308,0,0,-3694.787403901766,1460.4065690024472,0,0,426.3321845737745
39,Stefano,Lombardi,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,Maria,Costa,42,22,143,1696.2082638384218,-12627.92447181243,0,0,1,2,0,0,-3859.3442439965065,-8768.58022781593,0,0,615.4729574875756,1080.7353063508456
41,Alberto,Fontana,68,13,51,743.3404548491233,-4465.697031840433,0,0,0,1,0,0,0,-4465.697031840433,0,0,0,743.3404548491233
42,Alberto,Giordano,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,Simona,Bruno,57,8,39,1270.8236631252908,-3121.509072523899,0,1,0,0,0,-3121.509072523899,0,0,0,1270.8236631252908,0,0
44,Simone,Cassano,61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,Simone,Lombardi,52,8,54,453.7775112647408,-3670.792212665194,0,1,0,0,0,-3670.792212665194,0,0,0,453.7775112647408,0,0
46,Luigi,Esposito,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,Stefania,Marino,61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,Simona,Mancini,65,10,49,247.16623196083287,-2939.811385151617,0,0,1,0,0,0,-2939.811385151617,0,0,0,247.16623196083287,0
49,Mario,Esposito,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,Simona,Giordano,67,12,52,666.4550164184908,-3234.1228177999255,0,0,1,0,0,0,-3234.1228177999255,0,0,0,666.4550164184908,0
51,Stefania,Rossi,37,23,119,1844.006146888766,-10532.960648522287,0,1,1,0,0,-4460.484508473286,-6072.476140049,0,0,1021.2199138866406,822.786233002125,0
52,Mario,Esposito,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,Mario,Bruno,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,Stefano,Lombardi,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,Giada,Esposito,45,7,54,695.0610306943103,-3250.8241265366246,1,0,0,0,-3250.8241265366246,0,0,0,695.0610306943103,0,0,0
56,Luigi,Rossi,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,Stefano,Longo,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,Maria,Barbieri,55,9,49,816.2560904716838,-4681.240363631284,0,1,0,0,0,-4681.240363631284,0,0,0,816.2560904716838,0,0
59,Alberto,Ricci,64,24,95,3106.659386113825,-7952.91273664266,1,0,0,1,-4809.598039096955,0,0,-3143.3146975457025,885.006330799916,0,0,2221.653055313909
60,Giada,Romano,63,21,108,1896.0948108438151,-7868.109374266802,0,1,1,0,0,-4352.138158952152,-3515.9712153146493,0,0,1182.3335510232198,713.7612598205955,0
61,Simone,Martinelli,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,Simona,Colombo,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,Simona,Bianchi,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,Luigi,Cassano,43,13,106,1009.0305279676488,-9310.665724769793,0,1,0,1,0,-5473.2829565857555,0,-3837.382768184037,0,670.1271127278508,0,338.90341523979794
65,Simona,Conti,35,17,86,1537.3123655324391,-7351.825511128735,1,1,0,0,-3839.2608775451577,-3512.5646335835795,0,0,286.0783725718556,1251.2339929605835,0,0
66,Simona,Martinelli,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,Giada,Marino,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,Simona,Leone,28,20,121,1914.8712299663284,-11065.546835394802,1,1,0,0,-5503.567202020294,-5561.979633374504,0,0,1095.1889625979559,819.6822673683728,0,0
69,Simona,Rossi,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,Stefania,Cassano,41,9,57,613.6582320112717,-4540.063369737704,0,0,1,0,0,0,-4540.063369737704,0,0,0,613.6582320112717,0
71,Simona,Conti,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,Giada,Fontana,46,10,45,876.7933205966732,-4642.409547785767,0,0,1,0,0,0,-4642.409547785767,0,0,0,876.7933205966732,0
73,Stefano,Leone,33,10,54,763.8654619304084,-3461.4549099443634,1,0,0,0,-3461.4549099443634,0,0,0,763.8654619304084,0,0,0
74,Simone,Moretti,33,9,46,853.0483888342804,-3620.2679338974012,0,0,1,0,0,0,-3620.2679338974012,0,0,0,853.0483888342804,0
75,Simone,Lombardi,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,Alberto,Martinelli,55,9,58,338.16449451636333,-4335.062140900813,0,1,0,0,0,-4335.062140900813,0,0,0,338.16449451636333,0,0
77,Mario,Colombo,64,13,53,1202.6970674913282,-3831.7544750719076,0,0,0,1,0,0,0,-3831.7544750719076,0,0,0,1202.6970674913282
78,Simone,Leone,36,32,156,3213.9115440344194,-11098.469452442803,1,1,1,0,-3114.919776658138,-4478.307755011726,-3505.2419207729367,0,856.9710359329331,1594.5150604415098,762.4254476599763,0
79,Giada,Rossi,40,7,50,630.292805262362,-4138.1701586727995,0,1,0,0,0,-4138.1701586727995,0,0,0,630.292805262362,0,0
80,Alberto,Bruno,43,25,103,1811.356405856356,-7648.93711555528,0,1,0,1,0,-3212.5071278324995,0,-4436.42998772278,0,594.1608817361507,0,1217.1955241202054
81,Simone,Romano,35,15,98,887.3214195098701,-9124.085309119537,0,1,1,0,0,-5310.457059770164,-3813.628249349371,0,0,663.3732957803052,223.9481237295649,0
82,Alberto,Rossi,51,28,102,2001.1925942995701,-8353.864155174579,1,1,0,0,-3781.7434911332284,-4572.1206640413475,0,0,886.5581530106435,1114.6344412889268,0,0
83,Mario,Ricci,64,36,166,3374.687607328489,-13680.759386334961,0,2,0,1,0,-11264.81339565181,0,-2415.945990683154,0,2031.3783343450573,0,1343.309272983433
84,Maria,Marino,64,11,50,740.4687531804524,-4372.436233340551,0,0,1,0,0,0,-4372.436233340551,0,0,0,740.4687531804524,0
85,Simona,Longo,39,6,49,208.1867417072113,-3745.5472998855944,1,0,0,0,-3745.5472998855944,0,0,0,208.1867417072113,0,0,0
86,Maria,Colombo,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,Alberto,Giordano,35,18,102,1217.7752920773596,-9056.530177958935,0,0,1,1,0,0,-3145.2425239830873,-5911.287653975844,0,0,452.2438400388348,765.5314520385249
88,Giada,Romano,31,29,149,2297.53311143221,-11979.103723236773,0,0,1,2,0,0,-3792.587577827517,-8186.516145409258,0,0,676.3847382839923,1621.1483731482174
89,Maria,Longo,30,19,93,1398.6225856438684,-6713.271064313045,1,1,0,0,-3811.3820815364625,-2901.8889827765815,0,0,1116.086695674756,282.53588996911265,0,0
90,Alberto,Bianchi,54,19,89,1299.316694830683,-5481.387099197512,1,1,0,0,-2753.721817747912,-2727.6652814495983,0,0,717.2797084772511,582.0369863534321,0,0
91,Stefano,Cassano,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,Simone,Fontana,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,Alberto,Conti,32,18,104,2221.876075213643,-6623.511470252374,0,0,1,1,0,0,-3580.8720021240747,-3042.6394681282995,0,0,1007.0432175749644,1214.832857638679
94,Maria,Moretti,30,21,114,1895.0607042831944,-8241.08969340959,0,1,0,1,0,-4577.762395880467,0,-3663.3272975291243,0,616.5243708254329,0,1278.5363334577614
95,Stefano,Gallo,32,8,50,551.7621030653571,-3047.775724372801,1,0,0,0,-3047.775724372801,0,0,0,551.7621030653571,0,0,0
96,Maria,Rossi,51,14,101,1440.552430229591,-6007.393444108294,1,0,1,0,-3537.242775897338,0,-2470.1506682109557,0,1114.7878225674542,0,325.76460766213665,0
97,Maria,Conti,32,23,105,2085.541894924899,-7175.001018162713,0,1,1,0,0,-4815.504424874524,-2359.496593288189,0,0,1208.5746170063023,876.9672779185967,0
98,Giada,Greco,51,6,49,448.9327453431171,-3155.769537150028,0,1,0,0,0,-3155.769537150028,0,0,0,448.9327453431171,0,0
99,Giada,Greco,45,11,61,906.632455249967,-3964.636831197671,0,1,0,0,0,-3964.636831197671,0,0,0,906.632455249967,0,0
100,Maria,Mancini,41,27,205,2443.3857642990583,-17249.7183830769,0,1,3,0,0,-3994.2017604203356,-13255.516622656556,0,0,329.4683911805486,2113.91737311851,0
101,Giada,Bruno,34,22,104,1590.7261820998351,-8889.468280253752,1,1,0,0,-4817.230480925762,-4072.23779932799,0,0,530.3789093051546,1060.3472727946805,0,0
102,Simona,Romano,60,20,107,1082.6860313351817,-7387.674580815222,0,1,1,0,0,-4076.883844969357,-3310.790735845859,0,0,544.9525938568596,537.7334374783221,0
103,Mario,Fontana,55,25,171,3514.3191218955117,-12734.368635590721,1,0,1,1,-4734.927305457535,0,-3840.3832882972624,-4159.058041835923,1796.9250823858688,0,302.15757781001173,1415.2364616996308
104,Maria,Moretti,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,Mario,Ricci,50,8,52,1092.0561858243764,-3830.8006517331114,0,1,0,0,0,-3830.8006517331114,0,0,0,1092.0561858243764,0,0
106,Simona,Colombo,52,27,170,1912.4253616366163,-15858.824092220675,0,3,0,0,0,-15858.824092220675,0,0,0,1912.4253616366163,0,0
107,Luigi,Marino,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,Stefania,Lombardi,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,Maria,Cassano,36,7,49,925.7409569328177,-4935.690608017347,1,0,0,0,-4935.690608017347,0,0,0,925.7409569328177,0,0,0
110,Giada,Bianchi,31,4,57,536.6745369398352,-5330.444613439275,0,0,1,0,0,0,-5330.444613439275,0,0,0,536.6745369398352,0
111,Alberto,Esposito,29,23,165,1483.3874565752776,-14582.05905020998,0,1,1,1,0,-6096.419645832586,-4937.046613013699,-3548.5927913636892,0,475.871184509976,795.7690090431673,211.7472630221344
112,Alberto,Giordano,39,17,96,1298.9575700118817,-9080.011978814413,1,0,0,1,-4286.504308350008,0,0,-4793.507670464406,536.0959273731634,0,0,762.861642638718
113,Luigi,Mancini,45,7,40,750.2243040156675,-3185.9461104906436,1,0,0,0,-3185.9461104906436,0,0,0,750.2243040156675,0,0,0
114,Alberto,Russo,34,10,58,692.3970828071984,-4493.931133466952,0,0,0,1,0,0,0,-4493.931133466952,0,0,0,692.3970828071984
115,Luigi,Cassano,55,12,54,2409.0468051606604,-4259.102630893897,1,0,0,0,-4259.102630893897,0,0,0,2409.0468051606604,0,0,0
116,Giada,Mancini,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,Giada,Bruno,27,35,176,2879.60980860379,-13970.363733202994,1,0,1,1,-4973.482414704187,0,-5238.987505614202,-3757.893812884602,1128.672463308483,0,1057.9622850131134,692.9750602821937
118,Stefania,Leone,42,20,109,1457.6284791684875,-8433.455040213143,0,0,2,0,0,0,-8433.455040213143,0,0,0,1457.6284791684875,0
119,Stefania,Giordano,55,7,57,502.0709242234003,-3985.559389559743,0,0,1,0,0,0,-3985.559389559743,0,0,0,502.0709242234003,0
120,Stefania,Moretti,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,Maria,Leone,36,13,49,1309.666840331641,-4150.652135995847,0,0,1,0,0,0,-4150.652135995847,0,0,0,1309.666840331641,0
122,Giada,Ferrari,68,32,158,2225.5288998555716,-11492.458372030922,0,0,1,2,0,0,-4430.952012556793,-7061.506359474133,0,0,580.7950539602548,1644.7338458953166
123,Maria,Costa,63,28,106,1438.4110139650184,-8359.516930115013,2,0,0,0,-8359.516930115013,0,0,0,1438.4110139650184,0,0,0
124,Alberto,Ricci,31,9,60,570.6447771485136,-6126.358284242,0,0,0,1,0,0,0,-6126.358284242,0,0,0,570.6447771485136
125,Stefania,Mancini,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,Stefania,Barbieri,67,12,59,769.6703949892571,-5904.034880585933,1,0,0,0,-5904.034880585933,0,0,0,769.6703949892571,0,0,0
127,Giada,Barbieri,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,Stefania,Bianchi,59,9,51,604.9765595647386,-4110.658332137158,0,1,0,0,0,-4110.658332137158,0,0,0,604.9765595647386,0,0
129,Maria,Lombardi,53,45,162,3486.0764459062652,-13007.797591178358,0,1,2,1,0,-3481.063391267153,-7435.749080095829,-2090.9851198153765,0,850.1618311538326,1352.2990563945168,1283.6155583579155
130,Stefania,Ricci,52,13,53,1035.492139062551,-3724.883967770724,0,0,1,0,0,0,-3724.883967770724,0,0,0,1035.492139062551,0
131,Simona,Esposito,51,13,126,895.8682042593994,-9863.570101675621,2,0,0,0,-9863.570101675621,0,0,0,895.8682042593994,0,0,0
132,Giada,"De Luca",47,14,52,436.74890851464187,-3990.2904941538136,0,0,1,0,0,0,-3990.2904941538136,0,0,0,436.74890851464187,0
133,Alberto,Moretti,55,30,150,2887.670328746841,-14474.122101993968,0,0,1,2,0,0,-3461.442154094636,-11012.679947899329,0,0,1452.1642041159341,1435.5061246309062
134,Simona,Costa,44,8,55,602.4961634713386,-5157.52581507196,0,1,0,0,0,-5157.52581507196,0,0,0,602.4961634713386,0,0
135,Giada,Costa,55,16,96,1149.425206460668,-7395.2252855764655,2,0,0,0,-7395.2252855764655,0,0,0,1149.425206460668,0,0,0
136,Luigi,Fontana,45,11,37,1273.331987264734,-2270.20314545651,0,0,1,0,0,0,-2270.20314545651,0,0,0,1273.331987264734,0
137,Stefania,Conti,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,Alberto,Moretti,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
139,Stefania,Martinelli,30,34,208,3401.648089332595,-17307.10064950921,2,1,1,0,-11770.210355037028,-2621.3262833294875,-2915.564011142686,0,1898.210560036231,802.5400865236721,700.8974427726926,0
140,Simone,Fontana,62,15,51,1392.0880764456995,-5583.157880635661,0,0,0,1,0,0,0,-5583.157880635661,0,0,0,1392.0880764456995
141,Alberto,Barbieri,64,10,48,464.17369526736616,-3713.3928570849625,1,0,0,0,-3713.3928570849625,0,0,0,464.17369526736616,0,0,0
142,Luigi,Martinelli,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
143,Simone,Longo,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,Giada,Martinelli,39,11,50,1058.3790182047755,-4085.623268863915,1,0,0,0,-4085.623268863915,0,0,0,1058.3790182047755,0,0,0
145,Mario,Greco,60,19,96,3222.851024294444,-7930.545137587383,0,1,0,1,0,-3880.0246948286017,0,-4050.5204427587805,0,1042.04884169556,0,2180.8021825988844
146,Stefania,Conti,38,7,47,511.3532409860356,-4233.410667547932,0,1,0,0,0,-4233.410667547932,0,0,0,511.3532409860356,0,0
147,Alberto,Bianchi,28,18,107,1868.1823118611783,-8568.457682681135,0,1,0,1,0,-5053.638444653801,0,-3514.8192380273354,0,1007.5355168889181,0,860.64679497226
148,Simona,Costa,33,14,83,1135.5014340746231,-7134.984890539939,1,0,0,1,-4820.475710417187,0,0,-2314.5091801227504,179.80826364247102,0,0,955.6931704321519
149,Luigi,Lombardi,65,12,47,881.2346342380941,-4629.451344494391,0,1,0,0,0,-4629.451344494391,0,0,0,881.2346342380941,0,0
150,Simone,Fontana,48,16,97,1139.057233578633,-9494.235456974815,0,1,0,1,0,-6051.141655384414,0,-3443.093801590403,0,741.5513933246444,0,397.50584025398837
151,Stefano,Colombo,29,25,100,1637.3813360584702,-8785.90813631713,1,0,1,0,-3905.1687650158624,0,-4880.739371301269,0,1140.3492923197593,0,497.03204373871085,0
152,Stefania,Russo,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
153,Stefania,Barbieri,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,Maria,Martinelli,28,19,100,1355.3658988281568,-7441.563403028621,1,0,0,1,-4305.84867052588,0,0,-3135.714732502742,713.5737439041445,0,0,641.7921549240126
155,Stefania,Giordano,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
156,Luigi,Moretti,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
157,Luigi,Leone,39,38,195,3797.3227223722047,-13199.340620631974,1,1,0,2,-2979.619286095049,-3141.6360726258777,0,-7078.085261911037,1477.3955997648254,276.14896676837566,0,2043.778155839004
158,Mario,Martinelli,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
159,Luigi,Romano,40,9,52,834.58565674542,-3647.9047300981674,0,0,0,1,0,0,0,-3647.9047300981674,0,0,0,834.58565674542
160,Stefania,Romano,55,7,42,304.2652960355456,-2866.0327618738097,1,0,0,0,-2866.0327618738097,0,0,0,304.2652960355456,0,0,0
161,Stefania,"De Luca",68,11,45,1134.9719132606797,-3021.998891594775,0,0,1,0,0,0,-3021.998891594775,0,0,0,1134.9719132606797,0
162,Giada,Lombardi,33,13,51,1241.1526663828668,-3595.984682250879,0,0,0,1,0,0,0,-3595.984682250879,0,0,0,1241.1526663828668
163,Maria,Leone,67,26,101,2637.3329926381907,-7606.858678340997,0,2,0,0,0,-7606.858678340997,0,0,0,2637.3329926381907,0,0
164,Giada,Longo,32,13,60,750.3184936860762,-5193.646625027569,1,0,0,0,-5193.646625027569,0,0,0,750.3184936860762,0,0,0
165,Luigi,Colombo,63,25,109,1735.1028746398833,-7795.401297386017,0,1,0,1,0,-3700.1280268547757,0,-4095.2732705312433,0,1194.7386232197198,0,540.3642514201636
166,Giada,Ferrari,58,12,45,842.0901923488844,-3382.352478625054,0,1,0,0,0,-3382.352478625054,0,0,0,842.0901923488844,0,0
167,Luigi,Gallo,43,12,59,592.7280840892288,-7462.178300687383,0,0,0,1,0,0,0,-7462.178300687383,0,0,0,592.7280840892288
168,Simone,Leone,37,11,47,1008.7702078051902,-3933.7458084905506,0,0,0,1,0,0,0,-3933.7458084905506,0,0,0,1008.7702078051902
169,Stefano,Ferrari,27,9,40,686.9661168557282,-2489.4070354572145,0,0,1,0,0,0,-2489.4070354572145,0,0,0,686.9661168557282,0
170,Alberto,Cassano,66,10,51,649.7217422804107,-4820.703049000765,0,1,0,0,0,-4820.703049000765,0,0,0,649.7217422804107,0,0
171,Stefania,Mancini,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
